name,slug,sku,category,basePrice,productionTime,size,description,featured,active
"Business Cards - Standard v2","business-cards-standard-v2","BC-STD-3.5X2-V2","cat_business_card",19.99,5,"3.5x2","Professional business cards printed on premium cardstock. Perfect for networking and making a great first impression.","true","true"
"Business Cards - Premium","business-cards-premium","BC-PREM-3.5X2","cat_business_card",29.99,5,"3.5x2","Premium business cards with UV coating and premium cardstock options.","true","true"
"Flyers - 4x6","flyers-4x6","FLYER-4X6","cat_flyer",24.99,3,"4x6","Compact 4x6 flyers perfect for handouts and small promotions.","false","true"
"Flyers - 5x7","flyers-5x7","FLYER-5X7","cat_flyer",27.99,3,"5x7","5x7 flyers ideal for events and special promotions.","false","true"
"Flyers - 8.5x11","flyers-8-5x11","FLYER-8.5X11","cat_flyer",29.99,3,"8.5x11","Standard letter-size flyers for maximum impact and information.","true","true"
"Flyers - 11x17","flyers-11x17","FLYER-11X17","cat_flyer",39.99,3,"11x17","Large format flyers for high-visibility marketing campaigns.","false","true"
"Postcards - 4x6 Generic","postcards-4x6-generic","POSTCARD-4X6-GEN","cat_postcard",19.99,3,"4x6","Standard 4x6 postcards perfect for direct mail and marketing.","true","true"
"Postcards - 5x7","postcards-5x7","POSTCARD-5X7","cat_postcard",24.99,3,"5x7","Larger 5x7 postcards for impactful messaging.","false","true"
"Postcards - 6x9","postcards-6x9","POSTCARD-6X9","cat_postcard",29.99,3,"6x9","6x9 postcards for premium direct mail campaigns.","false","true"
"Postcards - 6x11","postcards-6x11","POSTCARD-6X11","cat_postcard",34.99,3,"6x11","Large 6x11 postcards for maximum visual impact.","false","true"
"Brochures - Bi-Fold 8.5x11","brochures-bifold-8-5x11","BROCHURE-BIFOLD-8.5X11","cat_brochure",49.99,5,"8.5x11","Bi-fold brochures perfect for product catalogs and service overviews.","true","true"
"Brochures - Tri-Fold 8.5x11","brochures-trifold-8-5x11","BROCHURE-TRIFOLD-8.5X11","cat_brochure",54.99,5,"8.5x11","Tri-fold brochures ideal for detailed presentations and information.","true","true"
"Brochures - Z-Fold 8.5x11","brochures-zfold-8-5x11","BROCHURE-ZFOLD-8.5X11","cat_brochure",54.99,5,"8.5x11","Z-fold brochures for unique presentation and easy reading.","false","true"
"Banners - 2x4 Vinyl","banners-2x4-vinyl","BANNER-2X4-VINYL","cat_banner",49.99,7,"2x4","Durable vinyl banners perfect for indoor and outdoor use.","false","true"
"Banners - 3x6 Vinyl","banners-3x6-vinyl","BANNER-3X6-VINYL","cat_banner",79.99,7,"3x6","Large 3x6 vinyl banners for high-visibility advertising.","true","true"
"Banners - 4x8 Vinyl","banners-4x8-vinyl","BANNER-4X8-VINYL","cat_banner",119.99,7,"4x8","Extra large 4x8 vinyl banners for maximum impact.","false","true"
"Posters - 11x17","posters-11x17","POSTER-11X17","cat_poster",29.99,3,"11x17","Standard 11x17 posters perfect for events and promotions.","false","true"
"Posters - 18x24","posters-18x24","POSTER-18X24","cat_poster",39.99,3,"18x24","Large 18x24 posters for high-impact displays.","true","true"
"Posters - 24x36","posters-24x36","POSTER-24X36","cat_poster",49.99,3,"24x36","Extra large 24x36 posters for maximum visibility.","false","true"
"Door Hangers - 3.5x8.5","door-hangers-3-5x8-5","DOORHANGER-3.5X8.5","cat_door_hanger",39.99,5,"3.5x8.5","Custom door hangers perfect for local marketing and promotions.","false","true"
